Date,state,district,sm_level,sm_agg_pct,sm_vol_pct,day_of_year,week,month,district_encoded,drought_risk
2018-06-24,GUJARAT,Bharuch,0.09,0.49,9.956500781,175,25,6,4,2
2018-06-24,GUJARAT,Valsad,0.53,3.29,34.82676373,175,25,6,25,2
2018-06-24,GUJARAT,Amreli,0.05,0.46,2.702863754,175,25,6,1,2
2018-06-24,GUJARAT,Anand,0.03,0.2,15.40988161,175,25,6,2,2
2018-06-24,GUJARAT,Bhavnagar,0.04,0.25,5.280175842,175,25,6,5,2
2018-06-24,GUJARAT,Kheda,0.0,0.0,14.94701762,175,25,6,11,2
2018-06-24,GUJARAT,Patan,0.04,0.32,0.467073718,175,25,6,16,2
2018-06-24,GUJARAT,The Dangs,0.0,0.0,28.38704694,175,25,6,23,2
2018-06-24,GUJARAT,Tapi,0.0,0.01,24.95735956,175,25,6,22,2
2018-06-24,GUJARAT,Panch Mahals,0.0,0.0,14.14899098,175,25,6,15,2
2018-06-24,GUJARAT,Surat,0.06,0.32,20.48603983,175,25,6,20,2
2018-06-24,GUJARAT,Sabar Kantha,0.0,0.0,8.574759734,175,25,6,19,2
2018-06-24,GUJARAT,Mahesana,0.0,0.0,2.562985053,175,25,6,12,2
2018-06-24,GUJARAT,Banas Kantha,0.0,0.03,1.95367958,175,25,6,3,2
2018-06-24,GUJARAT,Dohad,0.0,0.0,23.92743168,175,25,6,6,2
2018-06-24,GUJARAT,Ahmadabad,0.03,0.18,10.01534569,175,25,6,0,2
2018-06-24,GUJARAT,Porbandar,0.0,0.09,7.802653359,175,25,6,17,2
2018-06-24,GUJARAT,Junagadh,0.02,0.31,5.765121298,175,25,6,9,2
2018-06-24,GUJARAT,Kachchh,0.65,3.62,0.93428341,175,25,6,10,2
2018-06-24,GUJARAT,Rajkot,0.01,0.07,5.671770758,175,25,6,18,2
2018-06-23,GUJARAT,Gandhinagar,0.0,0.0,1.061195135,174,25,6,7,2
2018-06-23,GUJARAT,Narmada,0.0,0.0,21.84122866,174,25,6,13,2
2018-06-23,GUJARAT,Jamnagar,0.07,0.47,3.985389276,174,25,6,8,2
2018-06-23,GUJARAT,Vadodara,0.01,0.11,11.14509131,174,25,6,24,2
2018-06-23,GUJARAT,Navsari,0.04,0.25,14.17749228,174,25,6,14,2
2018-06-23,GUJARAT,Surendranagar,0.02,0.11,3.851770126,174,25,6,21,2
2018-06-23,GUJARAT,Bharuch,0.09,0.51,3.675403936,174,25,6,4,2
2018-06-23,GUJARAT,Valsad,0.26,1.5,30.76436652,174,25,6,25,2
2018-06-23,GUJARAT,Amreli,0.05,0.46,1.566230789,174,25,6,1,2
2018-06-23,GUJARAT,Anand,0.01,0.07,2.026771301,174,25,6,2,2
2018-06-23,GUJARAT,Bhavnagar,0.04,0.25,1.761082637,174,25,6,5,2
2018-06-23,GUJARAT,Kheda,0.0,0.0,2.567439616,174,25,6,11,2
2018-06-23,GUJARAT,Patan,0.04,0.32,0.296364725,174,25,6,16,2
2018-06-23,GUJARAT,The Dangs,0.0,0.0,28.31891197,174,25,6,23,2
2018-06-23,GUJARAT,Tapi,0.0,0.0,20.98631842,174,25,6,22,2
2018-06-23,GUJARAT,Panch Mahals,0.0,0.0,7.385616992,174,25,6,15,2
2018-06-23,GUJARAT,Surat,0.06,0.32,8.56841654,174,25,6,20,2
2018-06-23,GUJARAT,Sabar Kantha,0.0,0.0,4.419781187,174,25,6,19,2
2018-06-23,GUJARAT,Mahesana,0.0,0.0,0.866837112,174,25,6,12,2
2018-06-23,GUJARAT,Banas Kantha,0.0,0.03,1.386393734,174,25,6,3,2
2018-06-23,GUJARAT,Dohad,0.0,0.0,19.144718,174,25,6,6,2
2018-06-23,GUJARAT,Ahmadabad,0.03,0.19,2.821313956,174,25,6,0,2
2018-06-23,GUJARAT,Porbandar,0.0,0.09,7.090203774,174,25,6,17,2
2018-06-23,GUJARAT,Junagadh,0.02,0.31,4.579324718,174,25,6,9,2
2018-06-23,GUJARAT,Kachchh,0.66,3.68,0.915400439,174,25,6,10,2
2018-06-23,GUJARAT,Rajkot,0.01,0.07,5.566609253,174,25,6,18,2
2018-06-22,GUJARAT,Gandhinagar,0.0,0.0,0.513577923,173,25,6,7,2
2018-06-22,GUJARAT,Narmada,0.0,0.0,21.81729716,173,25,6,13,2
2018-06-22,GUJARAT,Jamnagar,0.07,0.48,2.757089494,173,25,6,8,2
2018-06-22,GUJARAT,Vadodara,0.02,0.14,10.44941088,173,25,6,24,2
2018-06-22,GUJARAT,Navsari,0.04,0.26,14.27049206,173,25,6,14,2
2018-06-22,GUJARAT,Surendranagar,0.02,0.11,2.23149696,173,25,6,21,2
2018-06-22,GUJARAT,Bharuch,0.09,0.52,3.313635908,173,25,6,4,2
2018-06-22,GUJARAT,Valsad,0.49,2.81,32.29781699,173,25,6,25,2
2018-06-22,GUJARAT,Amreli,0.05,0.47,0.79905143,173,25,6,1,2
2018-06-22,GUJARAT,Anand,0.01,0.07,1.439130052,173,25,6,2,2
2018-06-22,GUJARAT,Bhavnagar,0.04,0.27,1.673706982,173,25,6,5,2
2018-06-22,GUJARAT,Kheda,0.0,0.0,1.409518513,173,25,6,11,2
2018-06-22,GUJARAT,Patan,0.04,0.32,0.097222551,173,25,6,16,2
2018-06-22,GUJARAT,The Dangs,0.29,2.13,29.6377447,173,25,6,23,2
2018-06-22,GUJARAT,Tapi,0.02,0.11,21.33021705,173,25,6,22,2
2018-06-22,GUJARAT,Panch Mahals,0.0,0.0,5.380204279,173,25,6,15,2
2018-06-22,GUJARAT,Surat,0.06,0.33,8.535947847,173,25,6,20,2
2018-06-22,GUJARAT,Sabar Kantha,0.0,0.0,3.743160063,173,25,6,19,2
2018-06-22,GUJARAT,Mahesana,0.0,0.0,0.515228165,173,25,6,12,2
2018-06-22,GUJARAT,Banas Kantha,0.0,0.03,1.345517249,173,25,6,3,2
2018-06-22,GUJARAT,Dohad,0.0,0.0,16.85061958,173,25,6,6,2
2018-06-22,GUJARAT,Ahmadabad,0.03,0.19,2.427221259,173,25,6,0,2
2018-06-22,GUJARAT,Porbandar,0.0,0.1,6.950886955,173,25,6,17,2
2018-06-22,GUJARAT,Junagadh,0.02,0.32,4.306234027,173,25,6,9,2
2018-06-22,GUJARAT,Kachchh,0.67,3.73,0.767259446,173,25,6,10,2
2018-06-22,GUJARAT,Rajkot,0.01,0.07,0.960241439,173,25,6,18,2
2018-06-21,GUJARAT,Gandhinagar,0.0,0.0,0.420069232,172,25,6,7,2
2018-06-21,GUJARAT,Narmada,0.0,0.0,16.06888695,172,25,6,13,2
2018-06-21,GUJARAT,Jamnagar,0.07,0.48,2.582053185,172,25,6,8,2
2018-06-21,GUJARAT,Vadodara,0.01,0.11,5.860550098,172,25,6,24,2
2018-06-21,GUJARAT,Navsari,0.04,0.26,12.03643315,172,25,6,14,2
2018-06-21,GUJARAT,Surendranagar,0.02,0.11,2.13160015,172,25,6,21,2
2018-06-21,GUJARAT,Bharuch,0.1,0.54,2.514671469,172,25,6,4,2
2018-06-21,GUJARAT,Valsad,0.31,1.8,30.56027392,172,25,6,25,2
2018-06-21,GUJARAT,Amreli,0.05,0.48,0.780924997,172,25,6,1,2
2018-06-21,GUJARAT,Anand,0.01,0.08,1.249451661,172,25,6,2,2
2018-06-21,GUJARAT,Bhavnagar,0.04,0.28,1.377682843,172,25,6,5,2
2018-06-21,GUJARAT,Kheda,0.0,0.0,1.297120548,172,25,6,11,2
2018-06-21,GUJARAT,Patan,0.04,0.32,0.095690779,172,25,6,16,2
2018-06-21,GUJARAT,The Dangs,0.0,0.0,22.71824659,172,25,6,23,2
2018-06-21,GUJARAT,Tapi,0.01,0.04,14.00662563,172,25,6,22,2
2018-06-21,GUJARAT,Panch Mahals,0.0,0.0,4.78779237,172,25,6,15,2
2018-06-21,GUJARAT,Surat,0.06,0.33,7.442443173,172,25,6,20,2
2018-06-21,GUJARAT,Sabar Kantha,0.0,0.0,2.777304636,172,25,6,19,2
2018-06-21,GUJARAT,Mahesana,0.0,0.0,0.417652607,172,25,6,12,2
2018-06-21,GUJARAT,Banas Kantha,0.0,0.03,1.100474429,172,25,6,3,2
2018-06-21,GUJARAT,Dohad,0.0,0.0,11.13973489,172,25,6,6,2
2018-06-21,GUJARAT,Ahmadabad,0.03,0.2,2.080407024,172,25,6,0,2
2018-06-21,GUJARAT,Porbandar,0.0,0.1,6.386951748,172,25,6,17,2
2018-06-21,GUJARAT,Junagadh,0.02,0.32,4.267567278,172,25,6,9,2
2018-06-21,GUJARAT,Kachchh,0.68,3.78,0.745032094,172,25,6,10,2
2018-06-21,GUJARAT,Rajkot,0.01,0.07,0.888266209,172,25,6,18,2
2018-06-20,GUJARAT,Gandhinagar,0.0,0.0,0.272420209,171,25,6,7,2
2018-06-20,GUJARAT,Narmada,0.0,0.0,12.50613457,171,25,6,13,2
2018-06-20,GUJARAT,Jamnagar,0.07,0.49,2.589627554,171,25,6,8,2
