state,city,station,latitude,longitude,aqi_category,aqi_label,hotspot_cluster,PM2.5,NO2
Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",15.3714823,75.1160168,1,Satisfactory,0,47.0,8.0
Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397,1,Satisfactory,0,44.0,15.0
Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505,1,Satisfactory,0,37.0,23.0
Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",12.88925,74.853,1,Satisfactory,0,55.0,12.0
Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,1,Satisfactory,0,47.0,17.0
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,2,Moderate,0,74.0,21.0
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,1,Satisfactory,0,38.0,27.0
Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,0,Good,0,30.0,14.0
Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",16.7602,77.1428,3,Poor,0,107.0,14.0
Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765,0,Good,0,23.0,6.0
Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,1,Satisfactory,0,44.0,6.0
Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,1,Satisfactory,0,46.0,23.0
Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159,1,Satisfactory,0,40.0,7.0
Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",23.264759,77.381568,2,Moderate,0,63.0,33.0
Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,1,Satisfactory,0,54.0,34.0
Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",23.233584,77.400574,2,Moderate,0,61.0,29.0
Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246,2,Moderate,0,83.0,23.0
Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118,2,Moderate,0,69.0,106.0
Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",26.203442,78.193251,1,Satisfactory,0,53.0,63.0
Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",26.259242,78.216432,3,Poor,0,106.0,14.0
Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",26.200388,78.147714,3,Poor,0,105.0,24.0
Madhya Pradesh,Indore,"Airport Area, Indore - IMC",22.7289,75.8076,4,Very Poor,0,215.0,43.0
Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,3,Poor,0,100.0,113.0
Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",22.7524,75.8872,2,Moderate,0,90.0,16.0
Madhya Pradesh,Indore,"Regional Park, Indore - IMC",22.678,75.8559,2,Moderate,0,88.0,21.0
Madhya Pradesh,Indore,"Residency Area, Indore - IMC",22.7084,75.8815,2,Moderate,0,88.0,36.0
Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",23.163174,79.973061,1,Satisfactory,0,55.0,9.0
Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",23.142888,79.916147,2,Moderate,0,73.0,23.0
Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,1,Satisfactory,0,45.0,35.0
Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",23.218135,79.95777,2,Moderate,0,78.0,23.0
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",23.50016,80.23284,3,Poor,0,98.0,38.0
Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428,4,Very Poor,0,155.0,65.0
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,4,Very Poor,0,165.0,28.0
Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981,2,Moderate,0,73.0,17.0
