state,city,station,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_category,aqi_label
Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,11.0,5.0,9.0,21.0,105.0,73.0,4.0,2,Moderate
Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,49.0,4.0,16.0,36.0,133.0,139.0,7.0,4,Very Poor
Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",15.3714823,75.1160168,28.0,1.0,8.0,21.0,64.0,47.0,2.0,1,Satisfactory
Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397,47.0,3.0,15.0,20.0,57.0,44.0,4.0,1,Satisfactory
Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505,14.0,5.0,23.0,3.0,34.0,37.0,7.0,1,Satisfactory
Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",12.88925,74.853,33.0,3.0,12.0,21.0,67.0,55.0,12.0,1,Satisfactory
Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,26.0,4.0,17.0,16.0,58.0,47.0,3.0,1,Satisfactory
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,32.0,3.0,21.0,22.0,77.0,74.0,14.0,2,Moderate
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,29.0,3.0,27.0,29.0,51.0,38.0,3.0,1,Satisfactory
Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,25.0,1.0,14.0,16.0,54.0,30.0,3.0,0,Good
Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",16.7602,77.1428,29.0,1.0,14.0,18.0,115.0,107.0,11.0,3,Poor
Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765,28.0,5.0,6.0,14.0,73.0,23.0,1.0,0,Good
Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,45.0,5.0,6.0,30.0,60.0,44.0,3.0,1,Satisfactory
Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,14.0,5.0,23.0,11.0,38.0,46.0,18.0,1,Satisfactory
Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159,23.0,5.0,7.0,29.0,70.0,40.0,1.0,1,Satisfactory
Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",23.264759,77.381568,17.0,6.0,33.0,48.0,143.0,63.0,16.0,2,Moderate
Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,21.0,8.0,34.0,64.0,109.0,54.0,27.0,1,Satisfactory
Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",23.233584,77.400574,31.0,7.0,29.0,123.0,128.0,61.0,22.0,2,Moderate
Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246,99.0,5.0,23.0,20.0,140.0,83.0,4.0,2,Moderate
Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118,21.0,17.0,106.0,45.0,144.0,69.0,25.0,2,Moderate
Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",26.203442,78.193251,44.0,4.0,63.0,31.0,88.0,53.0,12.0,1,Satisfactory
Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",26.259242,78.216432,46.0,4.0,14.0,72.0,127.0,106.0,14.0,3,Poor
Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",26.200388,78.147714,33.0,3.0,24.0,63.0,131.0,105.0,17.0,3,Poor
Madhya Pradesh,Indore,"Airport Area, Indore - IMC",22.7289,75.8076,33.0,5.0,43.0,12.0,128.0,215.0,4.0,4,Very Poor
Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,33.0,25.0,113.0,32.0,148.0,100.0,16.0,3,Poor
Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",22.7524,75.8872,36.0,5.0,16.0,11.0,58.0,90.0,14.0,2,Moderate
Madhya Pradesh,Indore,"Regional Park, Indore - IMC",22.678,75.8559,16.0,2.0,21.0,7.0,65.0,88.0,18.0,2,Moderate
Madhya Pradesh,Indore,"Residency Area, Indore - IMC",22.7084,75.8815,42.0,5.0,36.0,6.0,92.0,88.0,4.0,2,Moderate
Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",23.163174,79.973061,29.0,2.0,9.0,12.0,85.0,55.0,5.0,1,Satisfactory
Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",23.142888,79.916147,33.0,5.0,23.0,47.0,105.0,73.0,12.0,2,Moderate
Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,54.0,4.0,35.0,27.0,91.0,45.0,33.0,1,Satisfactory
Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",23.218135,79.95777,33.0,6.0,23.0,45.0,79.0,78.0,13.0,2,Moderate
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",23.50016,80.23284,50.0,8.0,38.0,41.0,148.0,98.0,57.0,3,Poor
Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428,29.0,12.0,65.0,50.0,145.0,155.0,23.0,4,Very Poor
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,27.0,10.0,28.0,54.0,187.0,165.0,12.0,4,Very Poor
Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981,33.0,5.0,17.0,20.0,131.0,73.0,47.0,2,Moderate
Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",23.838586,78.759431,19.0,3.0,14.0,82.0,102.0,44.0,11.0,1,Satisfactory
Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321,33.0,5.0,27.0,20.0,110.0,42.0,5.0,1,Satisfactory
Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.8549414,24.0,5.0,12.0,20.0,70.0,50.0,22.0,1,Satisfactory
Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",24.10897,82.64558,59.0,4.0,94.0,19.0,260.0,193.0,64.0,4,Very Poor
Madhya Pradesh,Ujjain,"Mahashweta Nagar, Ujjain - MPPCB",23.1633321,75.800225,21.0,11.0,46.0,54.0,115.0,77.0,14.0,2,Moderate
Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",19.10122,74.73339,50.0,6.0,21.0,37.0,110.0,74.0,12.0,2,Moderate
Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",20.719516,77.000253,19.0,7.0,31.0,36.0,108.0,93.0,33.0,3,Poor
Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB",19.215784,73.199781,28.0,1.0,56.0,10.0,90.0,64.0,24.0,2,Moderate
Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",20.9402359,77.7895248,23.0,2.0,29.0,47.0,96.0,81.0,12.0,2,Moderate
Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",20.939198,77.765701,50.0,5.0,22.0,44.0,123.0,117.0,24.0,3,Poor
Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",19.87562,75.38731,10.0,2.0,35.0,18.0,102.0,63.0,12.0,2,Moderate
Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,46.0,11.0,19.0,39.0,102.0,114.0,7.0,3,Poor
Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",19.863756,75.321188,28.0,2.0,37.0,36.0,110.0,91.0,36.0,3,Poor
Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",19.16485,73.23409,35.0,5.0,20.0,22.0,116.0,74.0,11.0,2,Moderate
Maharashtra,Beed,"Bir, Beed - MPCB",18.988474,75.753873,33.0,5.0,40.0,23.0,94.0,49.0,23.0,1,Satisfactory
Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",19.0243902,73.0406721,10.0,4.0,23.0,7.0,117.0,44.0,9.0,1,Satisfactory
Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",19.309073,73.057223,58.0,4.0,21.0,24.0,99.0,81.0,12.0,2,Moderate
Maharashtra,Boisar,"Khaira, Boisar - MPCB",19.786089,72.757971,32.0,6.0,24.0,5.0,99.0,51.0,14.0,1,Satisfactory
Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714,21.0,1.0,31.0,18.0,110.0,60.0,27.0,1,Satisfactory
Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,38.0,3.0,14.0,20.0,106.0,62.0,12.0,2,Moderate
Maharashtra,Dhule,"Deopur, Dhule - MPCB",20.918946,74.776388,28.0,1.0,11.0,21.0,114.0,96.0,13.0,3,Poor
Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB",19.2268427,73.0788456,36.0,2.0,39.0,4.0,58.0,36.0,12.0,1,Satisfactory
Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB",19.710842,77.151824,33.0,4.0,24.0,160.0,85.0,67.0,10.0,2,Moderate
Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",21.001264,75.565602,22.0,2.0,6.0,40.0,115.0,81.0,20.0,2,Moderate
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",19.854616,75.905894,21.0,4.0,9.0,29.0,60.0,76.0,19.0,2,Moderate
Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",19.25292,73.142019,33.0,1.0,37.0,8.0,72.0,70.0,12.0,2,Moderate
Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",19.192056,72.9585188,52.0,3.0,13.0,4.0,128.0,70.0,14.0,2,Moderate
Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",16.6870449,74.2505872,17.0,3.0,23.0,23.0,79.0,75.0,12.0,2,Moderate
Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",16.7143745,74.2426398,14.0,5.0,23.0,19.0,55.0,45.0,3.0,1,Satisfactory
Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",18.39963,76.57452,30.0,17.0,55.0,28.0,108.0,112.0,7.0,3,Poor
Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",18.1023399,73.4783687,34.0,9.0,23.0,40.0,117.0,94.0,41.0,3,Poor
Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",20.555712,74.529236,28.0,5.0,11.0,37.0,151.0,125.0,12.0,4,Very Poor
Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,28.0,8.0,26.0,12.0,79.0,48.0,11.0,1,Satisfactory
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",19.053536,72.84643,15.0,36.0,44.0,3.0,113.0,32.0,1.0,1,Satisfactory
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,15.0,5.0,23.0,9.0,97.0,94.0,1.0,3,Poor
